à		Vit, I, E
cơ khổ		Aa
cơ-lanh-ke		Np
cơ-lê		Np
cơ lỡ		Aa
cơ mà		Cc
cơ man		Nn
cơ may		N
cơ mật		Aa
cơ mầu		N
cơ mưu		N
cơ năng		N
cơ năng		N
cơ nghiệp		N
cơ ngơi		N
cơ ngơi		N
cơ ngũ		N, Ng
cơ nhỡ		Aa
cơ quan		N, Ng
cơ quan chuyên môn		N, Ng
cơ quan chức năng		N, Ng
cơ quan dân cử		N, Ng
cơ quan hành chính		N, Ng
cơ quan ngôn luận		N, Ng
cơ quan quyền lực nhà nước		N, Ng
cơ số		Nu
cơ sở		N, Ng
cơ sở dữ liệu		N, Ng
cơ sở hạ tầng		N, Ng
cơ sự		N
cơ thắt		N, Ng
cơ thể		N, Ng
cơ thể học		N
cơ trí		Aa
cơ trơn		N, Ng
cơ vân		N, Ng
cơ vòng		N, Ng
cơ xưởng		N, Ng
cơ yếu		Aa
cờ		N, Ng
cờ bạc		N, Ng
cờ bỏi		N, Ng
cờ chân chó		N, Ng
cờ chó		N, Ng
cờ đuôi nheo		N, Ng
cờ gánh		N, Ng
cờ lê		N, Ng
cờ lông công		N, Ng
cờ mao		N, Ng
cờ người		N, Ng
cờ quạt		N, Ng
cờ trắng		N, Ng
cờ tướng		N, Ng
cờ vây		N, Ng
cờ vua		N, Ng
cờ xí		N, Ng
cỡ		Nu, Aa
cớ		N
cớ sao		Ja
cơi		N
cơi		N
cơi		N, Vt
cơi nới		Vt
cời		Vt, Aa
cởi		Vt
cởi mở		Vt, Aa
cỡi		Vt
cơlê		N, Ng
cơm		N, Ng, Aa
cơm áo		N, Ng
cơm áo gạo tiền		N, Ng
cơm bụi		N, Ng
cơm bữa		N, Ng
cơm cháo		N, Ng
cơm chim		N, Ng
cơm đen		N, Ng
cơm hàng cháo chợ		X
cơm lam		N, Ng
cơm niêu nước lọ		X
cơm nước		N, Ng
cơm thừa canh cặn		Np
cớm		N, Ng, Aa
cơn		Nt
cơn cớ		N
cơn sốt		N
cỡn		N
cợp		Vit, Aa
cớt nhả		Vit
cợt		Vt
cợt nhả		Vit
CPU		Np
Cr		Np
cra vát		Np
cravat		Np
crêp		Np
crom		Np
CS		Np
Cty		Np
cu		N
cu cậu		Pp
cu cu		N, Ng
cu cườm		N, Ng
cu đất		N, Ng
cu gáy		N, Ng
cu gầm ghì		N, Ng
cu gấm		N, Ng
cu li		N, Ng
cu lít		N, Ng
cu-lông		Np
cu luồng		N, Ng
cu ngói		N, Ng
cu sen		N, Ng
cu xanh		N, Ng
cù		N, Vt
cù bơ cù bất		Aa
cù cưa		Vit
cù là		N, Ng
cù lao		N
cù lao		N
cù lần		Aa
cù mì		Aa
cù nèo		N, Ng
cù ngoéo		N, Ng
cù nhằng		Vit
cù nhây		Vit
cù nhầy		Vit
cù rù		Aa
củ		N, Nt
củ ấu		N, Ng
củ bình vôi		N, Ng
củ cải		N, Ng
củ cải đường		N, Ng
củ cái		N, Ng
củ cẩm		N, Ng
củ dong		N, Ng
củ đao		N, Ng
củ đậu		N, Ng
củ khỉ		N, Ng
củ mài		N, Ng
củ mì		N, Ng
củ mỉ		Aa
củ mỉ cù mì		Aa
củ não		N, Ng
củ năn		N, Ng
củ nâu		N, Ng
củ rủ		Aa
củ rủ cù rù		Aa
củ soát		Vt
củ từ		N, Ng
cũ		Aa
cũ càng		Aa
cũ kĩ		Aa
cũ kỹ		Aa
cũ mèm		Aa
cũ rích		Aa
cú		N, Nu, Vt
cú mèo		N, Ng
cú pháp		N
cú pháp học		N
cú rũ		Aa
cú vọ		N, Ng
cụ		N
cụ cựa		Vit
cụ kị		N, Ng
cụ kỵ		N, Ng
cụ non		N
cụ thể		Aa
cụ thể hoá		Vt
cua		N, Ng, Aa
cua bấy		N, Ng
cua bể		N, Ng
cua biển		N, Ng
cua dẽ		N, Ng
cua đá		N, Ng
cua đồng		N, Ng
cua gạch		N, Ng
cua nước		N, Ng
cua óp		N, Ng
cua-roa		Np
cua-rơ		Np
cua thịt		N, Ng
của		N, Ng, Cm
của ăn của để		N, Ng
của cải		N, Ng
của cải quốc dân		N, Ng
của chìm		N, Ng
của chìm của nổi		N, Ng
của đáng tội		X
của đau con xót		X
của độc		N, Ng
của ít lòng nhiều		X
của nả		N, Ng
của người phúc ta		X
của nổi		N, Ng
của nợ		N
của thiên trả địa		X
cuaroa		Np
cuarơ		Np
cúc		N, Ng
cúc		N, Ng
cúc bấm		N, Ng
cúc cu		Vit
cúc cung		Vt
cúc cung tận tuỵ		Vit
cúc dục		Vit
cúc hoa		N, Ng
cúc tần		N, Ng
cúc trắng		N, Ng
cúc vạn thọ		N, Ng
cúc vàng		N, Ng
cục		N, Nt, Aa
cục bộ		N, Aa
cục cằn		Aa
cục diện		N
cục kịch		Aa
cục mịch		Aa
cục súc		Aa
cục tác		Vit
cục tính		Aa
cục trưởng		N, Ng
cui cút		Aa
cùi		N, N
cùi chỏ		N
cùi cụi		Aa
cùi dìa		N, Ng
cùi kén		N, Ng
cùi tay		N, Ng
củi		N, Ng
củi đóm		N, Ng
củi đuốc		N, Ng
củi lụt		N, Ng
củi lửa		N, Ng
củi rả		N, Ng
cũi		N, Ng, Vt
cúi		N, Ng, Vt
culi		Np
culit		Np
culon		Np
culong		Np
cum		N, Nu
cum cúp		Vt
cùm		N, Ng, Vt
cùm cụp		Vt
cùm kẹp		Vit
cúm		N
cúm núm		N
cúm rúm		Vit
cụm		Ng, Nu, Vt
cụm cứ điểm		N, Ng
cun		N, Ng
cun cút		N
cun cút		N
cùn		Aa
cùn đời		X
cùn đời mạt kiếp		X
cũn cỡn		An
cún		N
cung		N, Nu, N, Vt
cung bậc		N
cung cách		N
cung cấm		N, Ng
cung cấp		Vt
cung cầu		Vit
cung cúc		Aa
cung dưỡng		Vt
cung điện		N, Ng
cung đình		N, Ng
cung độ		Nu
cung đốn		Vt
cung kéo		N
cung khai		Vit
cung kiếm		N, Ng
cung kính		Aa
cung nga		N
cung nữ		N, Ng
cung phản xạ		N
cung phi		N, Ng
cung phụng		Vt
cung quăng		N, Ng
cung quế		N
cung tần		N, Ng
cung thánh		N
cung thất		N, Ng
cung thiếu niên		N, Ng
cung tiến		Vt
cung tiêu		Vit
cung trăng		N, Ng
cung ứng		Vt
cung văn		N, Ng
cung văn hoá		N, Ng
cung xưng		Vit
cùng		Nl, Aa, Cc, I
cùng bất đắc dĩ		Aa
cùng cực		N, Aa
cùng đinh		N, Ng
cùng đồ		N
cùng hội cùng thuyền		X
cùng khổ		Aa
cùng khốn		Aa
cùng kì lí		Aa
cùng kiệt		Aa
cùng kỳ lý		Aa
cùng quẫn		Aa
cùng tận		Aa
cùng tột		Aa
củng		Vt
củng cố		Vt
cũng		Jr
cũng nên		X
cũng quá tội		X
cúng		Vt
cúng bái		Vt
cúng cáo		Vit
cúng cấp		Vt
cúng cơm		Vit
cúng giỗ		Vit
cúng lễ		Vt
cúng quải		Vit
cúng quảy		Vit
cúng tế		Vt
cúng tiến		Vt
cúng vái		Vt
cụng		Vt
cụng đầu		Vit
cuốc		N, Ng, Vt
cuốc bàn		N, Ng
cuốc bộ		Vit
cuốc bướm		N, Ng
cuốc chét		N, Ng
cuốc chĩa		N, Ng
cuốc chim		N, Ng
cuộc		Nt, Vit
cuộc chiến		N, Ng
cuộc đời		N
cuộc sống		N
cuối		Nl, Aa
cuối cùng		Aa
cuội		N, Ng, Aa
cuội kết		N
cuỗm		Vt
cuồn cuộn		Vit
cuốn		N, Nt, Vt
cuốn chiếu		N, Ng, Vit
cuốn gói		Vit
cuốn hút		Vt
cuốn vó		Vit
cuốn xéo		Vit
cuộn		N, Nu, Vt
cuộn sơ cấp		N, Ng
cuộn thứ cấp		N, Ng
cuông		N, Ng
cuồng		Aa
cuồng bạo		Aa
cuồng ngôn		Vit 
cuồng chiến		Aa
cuồng cuống		Aa
cuồng dại		Aa
cuồng dâm		Aa
cuồng điên		Aa
cuồng loạn		Aa
cuồng mộng		N
cuồng nhiệt		Aa
cuồng nộ		Aa
cuồng phong		N, Ng
cuồng si		Aa
cuồng sĩ		N, Ng
cuồng tín		Vit
cuồng tưởng		Vit
cuồng vọng		N
cuống		N, Aa
cuống cà kê		Aa
cuống cuồng		Aa
cuống họng		N, Ng
cuống quít		Aa
cuống quýt		Aa
cuộng		N, Nt
cúp		N, Ng, Vt
cụp		Vt
curoa		Np
cút		N, Nu, Vit
cút kít		N, Ng
cụt		An
cụt hứng		Aa
cụt lủn		An
cụt ngủn		An
cụt thun lủn		An
cư dân		N, Ng
cư ngụ		Vit
cư sĩ		N, Ng
cư tang		Vit
cư trú		Vit
cư trú chính trị		Vit
cư xá		N, Ng
cư xử		Vit
cừ		N, N, Vt, Aa
cừ khôi		N, Aa
cử		N, Ng, Vt
cử binh		Vit
cử bộ		Vit
cử chỉ		N, Ng
cử động		N, Ng, Vt
cử hành		Vt
cử nghiệp		N
cử nhân		N, Ng
cử sự		Vt
cử toạ		N, Ng
cử tri		N, Ng
cử tử		N, Ng
cữ		Nu, Vt
cứ		N, Vt, Jd, I
cứ điểm		N, Ng
cứ liệu		N, Ng
cứ việc		Jr
cự		Vit
cự li		Nu
cự ly		Nu
cự mã		N
cự nự		Vit
cự phách		Aa
cự phú		Aa
cự tuyệt		Vt
cưa		N, Ng, Vt
cưa đứt đục suốt		X
cưa sừng làm nghé		X
cưa xẻ		Vit
cửa		N, Ng
cửa ải		N, Ng
cửa biển		N, Ng
cửa Bồ Đề		N
cửa bức bàn		N, Ng
cửa chớp		N, Ng
cửa công		N, Ng
cửa già		N, Ng
cửa giả		N, Ng
cửa hàng		N, Ng
cửa hàng trưởng		N, Ng
cửa hiệu		N, Ng
cửa khẩu		N, Ng
cửa không		N, Ng
cửa Khổng		N
cửa Khổng sân Trình		Np
cửa kính		N, Ng
cửa lá sách		N, Ng
cửa mạch		N, Ng
cửa mái		N, Ng
cửa miệng		N, Ng
cửa mình		N, Ng
cửa mở		N
cửa nẻo		N, Ng
cửa ngõ		N, Ng
cửa nhà		N, Ng
cửa ô		N, Ng
Cửa Phật		N
cửa quan		N, N
cửa quan		N, N
cửa quyền		N, Aa
cửa rả		N, Ng
cửa sổ		N, Ng
cửa sông		N, Ng
cửa tay		N, Ng
cửa thiền		N
cửa tò vò		N, Ng
cửa trời		N
cửa từ bi		N
cửa tử		N
cửa van		N, Ng
cứa		Vt
cứa cổ		Vit
cựa		N, Ng, Vt
cựa cậy		Vit
cựa quậy		Vit
cức bì		N, Ng
cực		Nl, Jd, Aa
cực chẳng đã		Aa
cực đại		N, An
cực điểm		N
cực đoan		Aa
cực độ		N, Jd
cực hạn		N
cực hình		N
cực hữu		Aa
cực khổ		Aa
cực kì		Jd
cực kỳ		Jd
cực lạc		Aa
cực lực		Jd
cực nhọc		Aa
cực nhục		Aa
cực quang		Ng
cực tả		Vt
cực tả		Aa
cực thịnh		Aa
cực tiểu		N, An
cực trị		N
cực từ		N, Ng
cửi		Vt
cưng		Vt
cưng chiều		Vt
cứng		Aa
cứng cáp		Aa
cứng cát		Aa
cứng cỏi		Aa
cứng còng		Aa
cứng cổ		Aa
cứng cựa		Aa
cứng đầu		Aa
cứng đầu cứng cổ		Aa
cứng đờ		Aa
cứng họng		Aa
cứng lưỡi		Aa
cứng miệng		Aa
cứng ngắc		Aa
cứng nhắc		Aa
cứng quèo		Aa
cứng rắn		Aa
cước		N, Ng
cước chú		N
cước khí		N
cước phí		N
cước vận		N
cược		Vt
cười		Vit
cười chê		Vt
cười cợt		Vit
cười duyên		Vit
cười gằn		Vit
cười góp		Vit
cười khà		Vit
cười khẩy		Vit
cười khì		Vit
cười mát		Vit
cười miếng chi		Vit
cười mũi		Vit
cười nắc nẻ		Vit
cười ngất		Vit
cười nhạt		Vit
cười như nắc nẻ		X
cười nịnh		Vit
cười nụ		Vit
cười ồ		Vit
cười phá		Vit
cười ra nước mắt		X
cười rộ		Vit
cười ruồi		Vit
cười sặc		Vit
cười sằng sặc		Vit
cười tình		Vit
cười trừ		Vit
cười tủm		Vit
cười vỡ bụng		X
cười xoà		Vit
cưỡi		Vt
cưỡi cổ		Vt
cưỡi đầu cưỡi cổ		Vit
cưỡi hổ		X
cưỡi ngựa xem hoa		X
cưới		Vt
cưới chạy tang		Vit
cưới hỏi		Vit
cưới xin		Vit
cườm		N, Vt
cương		N, Vit, Aa
cương cường		Aa
cương giới		Nl
cương kiên		Aa
cương lĩnh		N
cương mô		Ng
cương ngạnh		Aa
cương nghị		Aa
cương quyết		Aa
cương thổ		N
cương thường		N
cương toả		N
cương trực		Aa
cương vị		N
cương vực		N
cường		Aa
cường bạo		Aa
cường đạo		N, Ng
cường địch		N, Ng
cường điệu		Vit
cường độ		N
cường độ lao động		N
cường hào		N, Ng
cường kích		N, Ng
cường quốc		N, Ng
cường quyền		N
cường tập		Vit
cường thịnh		Aa
cường toan		N, Ng
cường tráng		Aa
cưỡng		N, Ng, Vtv, Aa
cưỡng bách		Vt
cưỡng bức		Vt
cưỡng chế		Vit
cưỡng dâm		Vit
cưỡng đoạt		Vt
cưỡng ép		Vt
cưỡng hiếp		Vt
cưỡng hôn		Vit
cướp		N, Ng, Vt
cướp bóc		Vt
cướp cò		Vit
cướp đoạt		Vt
cướp giật		Vt
cứt		N, Ng
cứt đái		N, Ng
cứt gián		N, Ng
cứt ngựa		N, Ng
cứt sắt		N, Ng
cứt su		N, Ng
cứt trâu		N, Ng
cưu mang		Vt
cừu		N, N
cừu địch		N, Vit
cừu hận		Vit
cừu thị		N, Vit
cửu		N
cửu chương		N, Ng
cửu lí hương		N, Ng
cửu lý hương		N, Ng
cửu ngũ		N
cửu nguyên		N
cửu phẩm		N
cửu trùng		N
cửu tuyền		N
cửu vạn		N, Ng
cữu		N, Ng
cứu		Vt
cứu cánh		N
cứu chữa		Vt
cứu giúp		Vt
cứu hoả		Vit
cứu hộ		Vit
cứu nhân độ thế		Vit
cứu quốc		Vit
cứu rỗi		Vt
cứu sinh		Vit
cứu tế		Vit
cứu thế		Vit
cứu thương		N, Vit
cứu tinh		N
cứu trợ		Vt
cứu ứng		Vit
cứu vãn		Vt
cứu viện		Vit
cứu vớt		Vt
cứu xét		Vit
cựu		Aa
cựu binh		N, Ng
cựu chiến binh		N, Ng
cựu giao		N
cựu hiềm		N
cựu học		N
cựu thần		N, Ng
cựu trào		N, Ng
cựu triều		N, Ng
cựu truyền		Aa
Cựu ước		Np
CY		X
cybernetic		Np
da		N, Ng
da bánh mật		N, Ng
da bát		N, Ng
da bò		N, Ng
da bọc xương		X
da bốc		N, Ng
da bốc can		N, Ng
da cam		N, Ng
da cật		N, Ng
da chì		N, Ng
da dâu		N, Ng
da dầu		N, Ng
da dẻ		N, Ng
da diết		Aa
da đồi mồi		N, Ng
da gà		N, Ng
da gai		N, Ng
da láng		N, Ng
da liễu		N, Ng
da lộn		N, Ng
da lươn		N, Ng
da màu		N, Ng
da mồi		N, Ng
da ngựa bọc thây		X
da nhung		N, Ng
da non		N, Ng
da rạn		N, Ng
da sần		N, Ng
da thuộc		N, Ng
da trời		N, Ng
dà		N, Aa, E
dã		Vt
dã ca		N
dã chiến		Vit, Aa
dã dề		Vit
dã dượi		Aa
dã lã		Vit
dã man		Aa
dã ngoại		Aa
dã sử		N
dã tâm		N
dã thú		N
dã tràng		N, Ng
dã vị		N
dạ		N, N, Vit, E
dạ cá		Ng
dạ cầm		N
dạ cỏ		N
dạ con		N, Ng
dạ cửa		N
dạ dày		N, Ng
dạ dày cơ		N, Ng
dạ dày tuyến		N, Ng
dạ dịp		Vit
dạ đài		N
dạ đề		N
dạ hội		N, Ng
dạ hợp		N
dạ hương		N, Ng
dạ khúc		N, Ng
dạ lá sách		N, Ng
dạ lan hương		N, Ng
dạ lí hương		N, Ng
dạ lý hương		N, Ng
dạ minh sa		N, Ng
dạ múi khế		N, Ng
dạ quang		Aa
dạ tổ ong		N, Ng
dạ trần		N
dạ xoa		N
dạ yến		N
dác		N
dai		Aa
dai dẳng		Aa
dai nhách		Aa
dai sức		Aa
dài		An
dài dài		An
dài dại		Aa
dài dặc		An
dài dằng dặc		An
dài dòng		Aa
dài dòng văn tự		Aa
dài đuồn đuỗn		An
dài đuỗn		An
dài hơi		Aa
dài lưng		Aa
dài mồm		Aa
dài nghêu		An
dài ngoằng		An
dài ngoẵng		An
dài nhằng		An
dài thòng		An
dài thườn thượt		An
dài thượt		An
dải		N, Nt
dải đồng		N
dải đồng tâm		N
dải rút		N, Ng
dãi		N, Vt
dãi dầu		Vit
dãi gió dầm mưa		X
dãi nắng dầm mưa		X
dãi thẻ		Vit
dái		N, Ng, Vitim
dái chân		N, Ng
dái mít		N, Ng
dái tai		N, Ng
dại		Aa
dại dột		Aa
dại gái		Aa
dại gì		X
dại gì mà		X
dại khờ		Aa
dại mặt		Aa
dalasi		Np
dam		N
dàm		N
dám		Vtv
dạm		Vt
dạm hỏi		Vit
dan		Vt
dan díu		Vit
dàn		N, Ng, Vit
dàn bài		Ng
dàn bè		Ng
dàn cảnh		Vit
dàn dựng		Vt
dàn hoà		Vit
dàn mặt		Vit
dàn nhạc		N, Ng
dàn nhạc giao hưởng		N, Ng
dàn tập		Vt
dàn trải		Vit, Aa
dàn xếp		Vt
dãn		Vit
dãn nở		Vit
dán		Vt
dạn		Aa
dạn dày		Aa
dạn dĩ		Aa
dang		N, Vt
dang dở		Aa
dàng		N, N
dàng dênh		Aa
dáng		N
dáng bộ		N
dáng chừng		Ja
dáng dấp		N
dáng điệu		N
dáng vẻ		N
dáng vóc		N
dạng		N
dạng bản		N
dạng hình		N
dạng thức		N
danh		N
danh bạ		N, Ng
danh bất hư truyền		X
danh ca		N, Ng
danh cầm		N, Ng
danh chính ngôn thuận		X
danh diện		N
danh dự		N
danh định		Vit
danh gia		N, Ng
danh giá		N, Aa
danh hài		N, Ng
danh hiệu		N
danh hoạ		N, Ng
danh lam thắng cảnh		N, Ng
danh lợi		N
danh mục		N, Ng
danh nghĩa		N
danh ngôn		N
danh ngữ		N
danh nhân		N, Ng
danh nho		N, Ng
danh pháp		N
danh phận		N
danh sách		N, Ng
danh sĩ		N, Ng
danh số		N
danh sư		N, Ng
danh tác		N, Ng
danh tài		N
danh tánh		N
danh thắng		N, Ng
danh thần		N, Ng
danh thiếp		N, Ng
danh thủ		N, Ng
danh tiếng		N, Aa
danh tiết		N
danh tính		N
danh từ		N
danh từ chung		N
danh từ riêng		N
danh tướng		N, Ng
danh vị		N
danh vọng		N
danh xưng		N
danh y		N, Ng
dành		N, Vt
dành dành		N, Ng
dành dụm		Vt
dảnh		Nu
dao		N, Ng
dao bài		N, Ng
dao bào		N, Ng
dao bảy		N, Ng
dao bầu		N, Ng
dao cạo		N, Ng
dao cau		N, Ng
dao cầu		N, Ng
dao chìa vôi		N, Ng
dao díp		N, Ng
dao độ		N
dao động		N, Vit
dao động đồ		N
dao động kí		N
dao động ký		N
dao găm		N, Ng
dao hai lưỡi		X
dao mổ		N, Ng
dao nề		N, Ng
dao nhíp		N, Ng
dao pha		N, Ng
dao phay		N, Ng
dao quắm		N, Ng
dao rựa		N, Ng
dao tể		N, Ng
dao tiện		N, Ng
dao tông		N, Ng
dao trì		N
dao trổ		N, Ng
dao tu		N, Ng
dao vọ		N, Ng
dao vôi		N, Ng
dao xây		N, Ng
dao xếp		N, Ng
dao yếm		N
dào		Vit, E
dào dạt		Vit, Aa
dáo dác		Aa
dạo		Nu, Vit
dạo đầu		Vit
dạo mát		Vit
dát		Vt, Aa
dát gái		Aa
dạt		Vit
dạt dào		Vit, Aa
dàu		Aa
day		Vt
day dứt		N, Vitim
day trở		Vit
dày		An
dày cồm cộp		An
dày cộp		An
dày cui		An
dày dạn		Aa
dày dặn		Aa
dày đặc		Aa
dày gió dạn sương		Aa
dảy		Vt
dãy		N, Nu
dạy		Vt
dạy bảo		Vt
dạy dỗ		Vt
dạy đời		Vit
dạy học		Vit
dăm		N, Nn
dăm ba		Nn
dăm bào		N, Ng
dăm bảy		Nn
dăm cối		N, Ng
dăm kèn		N, Ng
dăm kết		N
dằm		N
dặm		Nu
dặm ngàn		Ng
dặm nghìn		Ng
dặm trường		Ng
dăn		Vit
dăn deo		Aa
dăn dúm		Aa
dằn		Vt
dằn dỗi		Vit
dằn hắt		Vt
dằn mặt		Vit
dằn vặt		Vt
dặn		Vt
dặn dò		Vt
dăng		Vt
dăng dăng		Vit
dằng dai		Aa
dằng dặc		Aa
dằng dịt		Aa
dặng		Vit
dặng hắng		Vit
dắt		Vt
dắt dẫn		Vt
dắt dây		Vit
dắt dìu		Vt
dắt díu		Vit
dắt mũi		Vt
dặt		Vt
dặt dẹo		Aa
dặt dìu		Aa
dâm		N, Aa
dâm bôn		Aa
dâm bụt		N, Ng
dâm dấp		Aa
dâm dật		Aa
dâm dục		N, Aa
dâm đãng		Aa
dâm loạn		Aa
dâm ô		Aa
dâm phụ		N, Ng
dâm tà		N
dâm thư		N, Ng
dầm		N, Vt
dầm dề		Aa
dầm mưa dãi nắng		X
dẫm		Vt
dẫm đạp		Vt
dấm		Vt
dấm da dấm dẳn		Aa
dấm dẳn		Aa
dấm dẳng		Aa
dấm dớ		Vit, Aa
dấm dúi		Vt, Aa
dấm dứ		Vt
dấm dứt		Aa
dậm		N, Vit
dậm dật		Vit
dậm doạ		Vt
dân		Ng
dân biểu		N, Ng
dân binh		N, Ng
dân ca		N
dân cày		N, Ng
dân chính		N
dân chủ		N, Aa
dân chủ hoá		Vt
dân chủ tập trung		N
dân chủ tư sản		N
dân chủ xã hội chủ nghĩa		N
dân chúng		N, Ng
dân công		N, Ng
dân cư		N, Ng
dân cử		Aa
dân dã		N
dân dấn		Vt
dân doanh		Aa
dân dụng		Aa
dân đen		N, Ng
dân đinh		N, Ng
dân gian		N, Aa
dân khí		N
dân lập		Aa
dân luật		N
dân nghèo		N, Ng
dân ngu khu đen		Np
dân nguyện		N
dân phòng		N, Ng
dân phố		N, Ng
dân quân		N, Ng
dân quân du kích		N, Ng
dân quân tự vệ		N, Ng
dân quê		N, Ng
dân quốc		N
dân quyền		N
dân sinh		N
dân số		N
dân số học		N
dân sự		N, Aa
dân tình		N
dân tộc		Ng
dân tộc chủ thể		N
dân tộc đa số		N
dân tộc hoá		Vt
dân tộc học		N
dân tộc thiểu số		N
dân tộc tính		N
dân trí		N
dân tuý		N, Aa
dân vận		Vit
dân vệ		N, Ng
dân viện		N, Ng
dân y		N
dân ý		N
dần		N, Vt, Jr
dần dà		Jr
dẫn		Vt
dẫn chất		N
dẫn chứng		N, Vt
dẫn cưới		Vit
dẫn dắt		Vt
dẫn dụ		Vt
dẫn dụng		Vt
dẫn đạo		Vit
dẫn đầu		Vit
dẫn điểm		Vit
dẫn điện		Vit
dẫn độ		Vit
dẫn động		Vit
dẫn giải		Vt
dẫn hoả		Vit
dẫn liệu		N
dẫn lộ		Vit
dẫn lưu		Vit
dẫn nhiệt		Vit
dẫn rượu		Vit
dẫn thân		Vit
dẫn thuỷ		Vit
dẫn thuỷ nhập điền		Vit
dẫn truyền		Vt
dẫn xác		Vit
dẫn xuất		N, Aa
dấn		Vit, Vt
dấn mình		Vit
dấn thân		Vit
dấn vốn		N
dận		Vt
dâng		Vit, Vt
dâng hiến		Vt
dấp		Vt
dấp da dấp dính		Aa
dấp dính		Aa
dấp giọng		Vit
dập		Vt
dập dềnh		Vit
dập dìu		Aa
dập dồn		Aa
dập dờn		Vit, Aa
dập vùi		Vt
dật dờ		Vit, Aa
dật sĩ		N, Ng
dật sử		N
dâu		N
dâu bể		N
dâu con		N, Ng
dâu da		N, Ng
dâu da xoan		N, Ng
dâu gia		N, Ng
dâu rượu		N, Ng
dâu tằm		N, Ng
dâu tây		N, Ng
dầu		N, Ng, Aa
dầu béo		N, Ng
dầu bóng		N, Ng
dầu cá		N, Ng
dầu cao		N, Ng
dầu chổi		N, Ng
dầu con hổ		N, Ng
dầu cốc		N, Ng
dầu cù là		N, Ng
dầu dãi		Vit
dầu diesel		N, Ng
dầu đèn		N, Ng
dầu đi-ê-den		N, Ng
dầu điezen		N, Ng
dầu gió		N, Ng
dầu giun		N, Ng
dầu hắc		N, Ng
dầu hoả		N, Ng
dầu hôi		N, Ng
dầu khí		N, Ng
dầu luyn		N, Ng
dầu lửa		N, Ng
dầu máy		N, Ng
dầu măng		N, Ng
dầu mỏ		N, Ng
dầu mỡ		N, Ng
dầu nặng		N, Ng
dầu nhờn		N, Ng
dầu nhớt		N, Ng
dầu phộng		N, Ng
dầu phụng		N, Ng
dầu quang		N, Ng
dầu rái		N, Ng
dầu ta		N, Ng
dầu tây		N, Ng
dầu tẩy		N, Ng
dầu thô		N, Ng
dẩu		Vt
dẫu		Cc
dẫu sao		X
dấu		N, Ng, Vt
dấu ấn		N, Ng
dấu câu		N, Ng
dấu hiệu		N
dấu hỏi		N, Ng
dấu lặng		N, Ng
dấu luyến		X
dấu lửng		N, Ng
dấu má		N, Ng
dấu mũ		N, Ng
dấu nhắc		N, Ng
dấu nối		N, Ng
dấu tích		N, Ng
dấu vết		N, Ng
dậu		N, N
dây		N, Ng, Vt
dây bọc		N, Ng
dây cà ra dây muống		X
dây cáp		N, Ng
dây chằng		N, Ng
dây chun		N, Ng
dây chuyền		N, Ng
dây cót		N, Ng
dây cung		N, Ng
dây dẫn		N, Ng
dây dính		Vit
dây dọi		N, Ng
dây dợ		N, Ng
dây dưa		Vit
dây dướng		Vt
dây đất		N, Ng
dây điện		N, Ng
dây gắm		N, Ng
dây kẽm gai		N, Ng
dây khoá kéo		N, Ng
dây leo		N, Ng
dây lưng		N, Ng
dây mát		N, Ng
dây máu ăn phần		X
dây mơ rễ má		X
dây mũi		N, Ng
dây mực		N, Ng
dây nguội		N, Ng
dây nhợ		N, Ng
dây nói		N, Ng
dây nóng		N, Ng
dây óng		N, Ng
dây pha		N, Ng
dây rút		N, Ng
dây sống		N, Ng
dây thần kinh		N, Ng
dây thép		N, Ng
dây thép gai		N, Ng
dây thiều		N, Ng
dây thun		N, Ng
dây tóc		N, Ng
dây trần		N, Ng
dây trời		N
dây xích		N, Ng
dầy		Vt, An
dẫy		N, Nu, Vit
dấy		Vt
dấy binh		Vit
dậy		Vit
dậy đất		Aa
dậy mùi		Aa
dậy thì		Vit, Aa
de		N, Ng
dè		Vit
dè bỉu		Vt, Vim, Vtim
dè chừng		Vt
dè dặt		Vit, Aa
dè sẻn		Vt
dẻ		N, Ng
dẽ		N, Ng, Aa
dẽ dàng		Aa
dẽ gà		N, Ng
dẽ giun		N, Ng
dẽ tính		Aa
dé		Vit
dé chân chèo		Vit
deca-		Np
deci-		Np
decibel		Np
delta		Np
dém		Vt
dèn dẹt		Aa, An
denar		Np
dẻo		Aa
dẻo dai		Aa
dẻo dang		Aa
dẻo mồm		Aa
dẻo quẹo		Aa
dép		N, Ng
dẹp		Vt, An
dẹp lép		An
dẹp tiệm		Vit
derô		Np
dẹt		An
dê		N, Ng, Vit, Aa
dê diếu		Vt
dê-rô		Np
dể		Vt, Vim, Vtim
dể duôi		Vt, Vim, Vtim
dể ngươi		Vt, Vim, Vtim
dễ		Aa
dễ chịu		Aa
dễ coi		Aa
dễ dãi		Aa
dễ dàng		Aa
dễ dầu		Aa
dễ làm khó bỏ		X
dễ ợt		Aa
dễ sợ		Jd
dễ thở		Aa
dễ thương		Aa
dễ thường		Jd
dễ tính		Aa
dế		N, Ng
dế dũi		N, Ng
dế mèn		N, Ng
dế nhủi		N, Ng
dế trũi		N, Ng
dệ		N
dệch		Vt
dền		N, Ng
dền cơm		N, Ng
dền gai		N, Ng
dền tía		N, Ng
dện		N, Ng
dềnh		Vit
dềnh dang		Vit, Aa
dềnh dàng		Vit, Aa
dềnh dàng		An
dêrô		Np
dệt		Vt
